PC1	PC2	outlier	study
0.0039	0.02	0	AGVP
0.0067	0.0203	0	AGVP
0.0116	0.0219	0	AGVP
0.0091	0.0209	0	AGVP
0.0118	0.0211	0	AGVP
0.0085	0.022	0	AGVP
0.0092	0.0245	0	AGVP
0.0042	0.023	0	AGVP
-0.0004	0.0127	0	AGVP
0.0068	0.0181	0	AGVP
0.0051	0.0189	0	AGVP
0.0108	0.0162	0	AGVP
0.0069	0.0244	0	AGVP
0.0076	0.0198	0	AGVP
0.0064	0.0184	0	AGVP
0.01	0.0208	0	AGVP
0.0098	0.0205	0	AGVP
0.0087	0.019	0	AGVP
-0.0067	0.0182	0	AGVP
-0.0135	0.013	0	AGVP
0.001	0.0115	0	AGVP
-0.01	0.0117	0	AGVP
-0.006	0.0171	0	AGVP
-0.0158	0.0165	0	AGVP
0.0041	0.0144	0	AGVP
-0.0177	0.0117	0	AGVP
-0.028	0.007	0	AGVP
-0.0433	0.0027	0	AGVP
0.001	0.0171	0	AGVP
0.0017	0.0145	0	AGVP
-0.0004	0.0133	0	AGVP
-0.002	0.0179	0	AGVP
-0.0015	0.0152	0	AGVP
-0.0091	0.0109	0	AGVP
0.0004	0.0154	0	AGVP
-0.0306	0.0059	0	AGVP
-0.0383	0.0048	0	AGVP
0.003	0.0181	0	AGVP
0.0041	0.0199	0	AGVP
0.0023	0.0188	0	AGVP
-0.001	0.0182	0	AGVP
0.0002	0.0208	0	AGVP
0.0032	0.0148	0	AGVP
0.0029	0.0194	0	AGVP
0.0049	0.0235	0	AGVP
-0.0006	0.0193	0	AGVP
-0.0026	0.0191	0	AGVP
0.0019	0.0212	0	AGVP
0.0039	0.0195	0	AGVP
0.0056	0.0237	0	AGVP
-0.0034	0.0182	0	AGVP
0.0033	0.0162	0	AGVP
0.0033	0.0268	0	AGVP
0.0023	0.0224	0	AGVP
0.0003	0.0191	0	AGVP
-0.0003	0.0183	0	AGVP
0.0039	0.0195	0	AGVP
0.005	0.0261	0	AGVP
0.007	0.0209	0	AGVP
0.0058	0.0211	0	AGVP
0.0053	0.0224	0	AGVP
0.0043	0.0228	0	AGVP
0.0035	0.0231	0	AGVP
0.0035	0.0216	0	AGVP
0.0008	0.0215	0	AGVP
0.005	0.0226	0	AGVP
0.0027	0.0224	0	AGVP
0.0045	0.0193	0	AGVP
0.0055	0.0228	0	AGVP
0.0099	0.0234	0	AGVP
0.0006	0.0157	0	AGVP
0.0068	0.0254	0	AGVP
0.0039	0.019	0	AGVP
-0.003	0.0194	0	AGVP
0.006	0.0187	0	AGVP
-0.0024	0.0149	0	AGVP
0.0028	0.0211	0	AGVP
-0.0002	0.0211	0	AGVP
0.0026	0.0185	0	AGVP
0.0049	0.018	0	AGVP
0.0009	0.0211	0	AGVP
0.0082	0.0214	0	AGVP
0.0049	0.0189	0	AGVP
0.0009	0.023	0	AGVP
-0.0032	0.0172	0	AGVP
-0.0035	0.0186	0	AGVP
0.0032	0.0199	0	AGVP
-0.0017	0.021	0	AGVP
0.0071	0.0221	0	AGVP
0.0017	0.0195	0	AGVP
0.0026	0.0183	0	AGVP
0.0037	0.0223	0	AGVP
0.0056	0.0246	0	AGVP
-0.0027	0.0203	0	AGVP
0.0016	0.0223	0	AGVP
0.002	0.0198	0	AGVP
0.0006	0.0224	0	AGVP
0.004	0.0193	0	AGVP
0.0063	0.0211	0	AGVP
0.002	0.0173	0	AGVP
0.0063	0.0174	0	AGVP
0.0007	0.022	0	AGVP
0.0033	0.0207	0	AGVP
0.0021	0.0197	0	AGVP
0.0012	0.0203	0	AGVP
0.0029	0.0186	0	AGVP
-0.0007	0.0234	0	AGVP
0.0027	0.0204	0	AGVP
0.0029	0.0187	0	AGVP
0.0012	0.0185	0	AGVP
0.003	0.0195	0	AGVP
0.0063	0.0246	0	AGVP
0.0117	0.0189	0	Malawi
0.0119	0.0201	0	Malawi
0.011	0.0222	0	Malawi
0.0146	0.0195	0	Malawi
0.0157	0.0222	0	Malawi
0.0151	0.0249	0	Malawi
0.0127	0.0264	0	Malawi
0.0134	0.0191	0	Malawi
0.0126	0.0242	0	Malawi
0.015	0.0159	0	Malawi
0.0133	0.0249	0	Malawi
0.0133	0.0253	0	Malawi
0.0171	0.0227	0	Malawi
0.0139	0.0141	0	Malawi
0.0118	0.0204	0	Malawi
0.0121	0.0242	0	Malawi
0.0118	0.0224	0	Malawi
0.0148	0.0244	0	Malawi
0.0145	0.0253	0	Malawi
0.0123	0.0215	0	Malawi
0.0122	0.019	0	Malawi
0.013	0.0217	0	Malawi
0.0159	0.0199	0	Malawi
0.0138	0.018	0	Malawi
0.012	0.0207	0	Malawi
0.0133	0.0227	0	Malawi
0.0119	0.0153	0	Malawi
0.0147	0.0247	0	Malawi
0.0133	0.0231	0	Malawi
0.0131	0.0211	0	Malawi
0.0133	0.0202	0	Malawi
0.0154	0.0221	0	Malawi
0.0131	0.0171	0	Malawi
0.0141	0.0222	0	Malawi
0.015	0.0199	0	Malawi
0.0133	0.0198	0	Malawi
0.0123	0.0259	0	Malawi
0.0138	0.0218	0	Malawi
0.0136	0.0202	0	Malawi
0.0122	0.0216	0	Malawi
0.0127	0.0226	0	Malawi
0.0126	0.0168	0	Malawi
0.0118	0.0209	0	Malawi
0.0139	0.0183	0	Malawi
0.0149	0.0213	0	Malawi
0.0144	0.0195	0	Malawi
0.0114	0.0185	0	Malawi
0.01	0.0171	0	Malawi
0.0128	0.0206	0	Malawi
0.0152	0.022	0	Malawi
0.0143	0.02	0	Malawi
0.0131	0.017	0	Malawi
0.0143	0.0203	0	Malawi
0.015	0.0184	0	Malawi
0.0124	0.0198	0	Malawi
0.0112	0.0191	0	Malawi
0.0131	0.0223	0	Malawi
0.0154	0.0195	0	Malawi
0.0146	0.022	0	Malawi
0.011	0.0157	0	Malawi
0.0138	0.0205	0	Malawi
0.0128	0.0208	0	Malawi
0.0113	0.0231	0	Malawi
0.0149	0.0216	0	Malawi
0.0142	0.0204	0	Malawi
0.0144	0.02	0	Malawi
0.0145	0.0226	0	Malawi
0.0128	0.0224	0	Malawi
0.0099	0.0256	0	Malawi
0.0135	0.0217	0	Malawi
0.0149	0.0201	0	Malawi
0.0144	0.0207	0	Malawi
0.0137	0.0185	0	Malawi
0.0139	0.0184	0	Malawi
0.0143	0.0217	0	Malawi
0.012	0.0195	0	Malawi
0.0127	0.0226	0	Malawi
0.0127	0.0217	0	Malawi
0.0176	0.0178	0	Malawi
0.0152	0.0197	0	Malawi
0.0148	0.0198	0	Malawi
0.0131	0.0162	0	Malawi
0.0149	0.0219	0	Malawi
0.0113	0.023	0	Malawi
0.0133	0.026	0	Malawi
0.0145	0.0211	0	Malawi
0.0135	0.0216	0	Malawi
0.0141	0.0234	0	Malawi
0.0146	0.0248	0	Malawi
0.0148	0.0167	0	Malawi
0.0139	0.021	0	Malawi
0.0167	0.0214	0	Malawi
0.0165	0.0201	0	Malawi
0.0138	0.0233	0	Malawi
0.0151	0.0201	0	Malawi
0.0133	0.0205	0	Malawi
0.0131	0.0217	0	Malawi
0.015	0.019	0	Malawi
0.0149	0.0213	0	Malawi
0.0146	0.0234	0	Malawi
0.0126	0.0165	0	Malawi
0.0155	0.025	0	Malawi
0.0117	0.0223	0	Malawi
0.0143	0.0217	0	Malawi
0.0159	0.0218	0	Malawi
0.0121	0.0203	0	Malawi
0.0153	0.023	0	Malawi
0.0155	0.0197	0	Malawi
0.0131	0.0176	0	Malawi
0.0154	0.0242	0	Malawi
0.0158	0.0193	0	Malawi
0.0148	0.0174	0	Malawi
0.0138	0.021	0	Malawi
0.0146	0.0248	0	Malawi
0.0151	0.0204	0	Malawi
0.0112	0.0235	0	Malawi
0.0138	0.0261	0	Malawi
0.0104	0.0219	0	Malawi
0.0113	0.0185	0	Malawi
0.0142	0.0207	0	Malawi
0.0135	0.0169	0	Malawi
0.0136	0.0204	0	Malawi
0.0127	0.0202	0	Malawi
0.0129	0.0167	0	Malawi
0.0146	0.0227	0	Malawi
0.0133	0.0224	0	Malawi
0.0155	0.0175	0	Malawi
0.0136	0.0192	0	Malawi
0.013	0.0223	0	Malawi
0.0119	0.0205	0	Malawi
0.0163	0.0248	0	Malawi
0.0133	0.0219	0	Malawi
0.0134	0.0201	0	Malawi
0.0109	0.0141	0	Malawi
0.0145	0.0199	0	Malawi
0.0127	0.0229	0	Malawi
0.0126	0.0223	0	Malawi
0.0135	0.0208	0	Malawi
0.0152	0.0195	0	Malawi
0.0143	0.0193	0	Malawi
0.0145	0.022	0	Malawi
0.0123	0.0198	0	Malawi
0.0145	0.0236	0	Malawi
0.0151	0.0221	0	Malawi
0.013	0.0246	0	Malawi
0.0138	0.0199	0	Malawi
0.01	0.0168	0	Malawi
0.011	0.0214	0	Malawi
0.0121	0.0233	0	Malawi
0.0129	0.0179	0	Malawi
0.0121	0.0235	0	Malawi
0.0144	0.0213	0	Malawi
0.0165	0.0244	0	Malawi
0.0111	0.0242	0	Malawi
0.0121	0.0225	0	Malawi
0.0154	0.0219	0	Malawi
0.0127	0.023	0	Malawi
0.0125	0.0232	0	Malawi
0.0134	0.02	0	Malawi
0.0145	0.0238	0	Malawi
0.0119	0.0254	0	Malawi
0.0145	0.0234	0	Malawi
0.0147	0.022	0	Malawi
0.0116	0.0219	0	Malawi
0.0117	0.0196	0	Malawi
0.0123	0.023	0	Malawi
0.013	0.0244	0	Malawi
0.0154	0.0198	0	Malawi
0.0141	0.0197	0	Malawi
0.0116	0.0274	0	Malawi
0.015	0.0144	0	Malawi
0.0123	0.0227	0	Malawi
0.0111	0.0194	0	Malawi
0.0124	0.0245	0	Malawi
0.0135	0.0202	0	Malawi
0.0119	0.0235	0	Malawi
0.0108	0.0243	0	Malawi
0.0124	0.0195	0	Malawi
0.0153	0.0213	0	Malawi
0.0132	0.0187	0	Malawi
0.0112	0.0193	0	Malawi
0.013	0.0192	0	Malawi
0.014	0.0218	0	Malawi
0.0133	0.0191	0	Malawi
0.0132	0.019	0	Malawi
0.0131	0.0215	0	Malawi
0.0127	0.0233	0	Malawi
0.0143	0.0218	0	Malawi
0.0112	0.0211	0	Malawi
0.0135	0.0212	0	Malawi
0.0114	0.0226	0	Malawi
0.0111	0.0185	0	Malawi
0.0137	0.0231	0	Malawi
0.0159	0.0221	0	Malawi
0.0114	0.0222	0	Malawi
0.0141	0.0215	0	Malawi
0.0126	0.0197	0	Malawi
0.0126	0.0226	0	Malawi
0.013	0.0215	0	Malawi
0.0113	0.0226	0	Malawi
0.0138	0.0245	0	Malawi
0.0125	0.0188	0	Malawi
0.0149	0.0273	0	Malawi
0.013	0.0212	0	Malawi
0.0136	0.0249	0	Malawi
0.0152	0.0217	0	Malawi
0.0139	0.02	0	Malawi
0.0144	0.0207	0	Malawi
0.0156	0.0227	0	Malawi
0.0108	0.0241	0	Malawi
0.0127	0.0213	0	Malawi
0.0125	0.0194	0	Malawi
0.0132	0.0199	0	Malawi
0.0125	0.0167	0	Malawi
0.0139	0.0189	0	Malawi
0.0119	0.0232	0	Malawi
0.0133	0.0219	0	Malawi
0.0108	0.0193	0	Malawi
0.0134	0.0185	0	Malawi
0.0121	0.0168	0	Malawi
0.0078	0.0209	0	Malawi
0.0029	0.0218	1	Malawi
0.0162	0.0195	0	Malawi
0.013	0.0209	0	Malawi
0.0133	0.0157	0	Malawi
0.0147	0.0222	0	Malawi
0.0139	0.0148	0	Malawi
0.0139	0.0238	0	Malawi
0.0137	0.0238	0	Malawi
0.0136	0.0195	0	Malawi
0.0153	0.019	0	Malawi
0.0146	0.0204	0	Malawi
0.0119	0.0185	0	Malawi
0.011	0.0255	0	Malawi
0.012	0.0211	0	Malawi
0.0129	0.0229	0	Malawi
0.0125	0.0236	0	Malawi
0.0141	0.0203	0	Malawi
0.0129	0.0208	0	Malawi
0.0124	0.0254	0	Malawi
0.0145	0.0211	0	Malawi
0.0129	0.0219	0	Malawi
0.0135	0.0178	0	Malawi
0.0134	0.0289	0	Malawi
0.0144	0.021	0	Malawi
0.0147	0.0227	0	Malawi
0.0128	0.0242	0	Malawi
0.0145	0.0249	0	Malawi
0.0152	0.0209	0	Malawi
0.0121	0.0277	0	Malawi
0.0163	0.0296	0	Malawi
0.0135	0.0244	0	Malawi
0.0144	0.0256	0	Malawi
0.0119	0.0222	0	Malawi
0.0143	0.0205	0	Malawi
0.0155	0.0212	0	Malawi
0.0129	0.0205	0	Malawi
0.0102	0.0255	0	Malawi
0.0136	0.0226	0	Malawi
0.0115	0.0202	0	Malawi
0.0146	0.0193	0	Malawi
0.016	0.0201	0	Malawi
0.015	0.0268	0	Malawi
0.0136	0.023	0	Malawi
0.0154	0.0206	0	Malawi
0.0126	0.0214	0	Malawi
0.0118	0.0216	0	Malawi
0.011	0.02	0	Malawi
0.0128	0.0186	0	Malawi
0.0159	0.018	0	Malawi
0.012	0.0227	0	Malawi
0.0175	0.0218	0	Malawi
0.0141	0.0167	0	Malawi
0.0102	0.0236	0	Malawi
0.0165	0.0204	0	Malawi
0.0118	0.0178	0	Malawi
0.0155	0.0174	0	Malawi
0.0096	0.026	0	Malawi
0.0115	0.0207	0	Malawi
0.0133	0.0198	0	Malawi
0.0154	0.0207	0	Malawi
0.0136	0.0227	0	Malawi
0.0155	0.0218	0	Malawi
0.0112	0.0182	0	Malawi
0.0138	0.022	0	Malawi
0.0164	0.0186	0	Malawi
0.0164	0.0217	0	Malawi
0.0165	0.0188	0	Malawi
0.0145	0.0233	0	Malawi
0.0115	0.0182	0	Malawi
0.0166	0.0192	0	Malawi
0.0137	0.0192	0	Malawi
0.0165	0.0255	0	Malawi
0.0139	0.0219	0	Malawi
0.0128	0.0215	0	Malawi
0.0112	0.0231	0	Malawi
0.0119	0.0197	0	Malawi
0.0162	0.0213	0	Malawi
0.0131	0.02	0	Malawi
0.0137	0.0251	0	Malawi
0.0135	0.0224	0	Malawi
0.0153	0.0199	0	Malawi
0.0132	0.023	0	Malawi
0.0135	0.0202	0	Malawi
0.0128	0.0218	0	Malawi
0.014	0.018	0	Malawi
0.0135	0.0212	0	Malawi
0.0149	0.0244	0	Malawi
0.0158	0.0212	0	Malawi
0.0127	0.0169	0	Malawi
0.0123	0.0252	0	Malawi
0.0149	0.0204	0	Malawi
0.016	0.0246	0	Malawi
0.0136	0.0185	0	Malawi
0.0146	0.021	0	Malawi
0.0148	0.0228	0	Malawi
0.0165	0.0223	0	Malawi
0.0134	0.0188	0	Malawi
0.0096	0.0185	0	Malawi
0.0116	0.0185	0	Malawi
0.015	0.0224	0	Malawi
0.0132	0.0225	0	Malawi
0.0126	0.0226	0	Malawi
0.0135	0.0208	0	Malawi
0.0145	0.024	0	Malawi
0.0142	0.0216	0	Malawi
0.013	0.0206	0	Malawi
0.0126	0.0215	0	Malawi
0.014	0.0198	0	Malawi
0.0151	0.0228	0	Malawi
0.0156	0.022	0	Malawi
0.0146	0.0218	0	Malawi
0.0138	0.0185	0	Malawi
0.0157	0.0207	0	Malawi
0.0152	0.0217	0	Malawi
0.0111	0.0182	0	Malawi
0.0125	0.0247	0	Malawi
0.016	0.0226	0	Malawi
0.0157	0.0238	0	Malawi
0.0146	0.0222	0	Malawi
0.0126	0.0214	0	Malawi
0.0138	0.0169	0	Malawi
0.0112	0.022	0	Malawi
0.0109	0.0167	0	Malawi
0.016	0.0218	0	Malawi
0.0141	0.0225	0	Malawi
0.0165	0.0201	0	Malawi
0.0127	0.0223	0	Malawi
0.0126	0.0228	0	Malawi
0.0162	0.0186	0	Malawi
0.0151	0.0157	0	Malawi
0.0151	0.021	0	Malawi
0.0135	0.0226	0	Malawi
0.0155	0.0208	0	Malawi
0.0152	0.0196	0	Malawi
0.0139	0.0207	0	Malawi
0.0151	0.0174	0	Malawi
0.0156	0.0231	0	Malawi
0.0147	0.0219	0	Malawi
0.0146	0.0223	0	Malawi
0.0136	0.0222	0	Malawi
0.0096	0.0202	0	Malawi
0.0144	0.022	0	Malawi
0.0139	0.0219	0	Malawi
0.0146	0.0212	0	Malawi
0.014	0.0191	0	Malawi
0.0156	0.019	0	Malawi
0.0123	0.0206	0	Malawi
0.0127	0.0209	0	Malawi
0.0151	0.0211	0	Malawi
0.013	0.0192	0	Malawi
0.0122	0.0234	0	Malawi
0.0111	0.0239	0	Malawi
0.0121	0.0176	0	Malawi
0.0112	0.0186	0	Malawi
0.0124	0.0201	0	Malawi
0.0118	0.0229	0	Malawi
0.0135	0.0202	0	Malawi
0.0145	0.0228	0	Malawi
0.0111	0.0232	0	Malawi
0.0142	0.0166	0	Malawi
0.0126	0.0196	0	Malawi
0.0128	0.0193	0	Malawi
0.0152	0.0245	0	Malawi
0.0141	0.0237	0	Malawi
0.0158	0.0188	0	Malawi
0.0131	0.0198	0	Malawi
0.0141	0.0212	0	Malawi
0.0116	0.0212	0	Malawi
0.0156	0.0242	0	Malawi
0.0123	0.0212	0	Malawi
0.0155	0.0174	0	Malawi
0.0148	0.0215	0	Malawi
0.0106	0.0202	0	Malawi
0.015	0.0201	0	Malawi
0.0145	0.0173	0	Malawi
0.012	0.0232	0	Malawi
0.0144	0.0207	0	Malawi
0.0169	0.02	0	Malawi
0.0144	0.0179	0	Malawi
0.0127	0.0187	0	Malawi
0.0153	0.0221	0	Malawi
0.0111	0.024	0	Malawi
0.013	0.02	0	Malawi
0.016	0.0214	0	Malawi
0.0148	0.0238	0	Malawi
0.0146	0.0238	0	Malawi
0.0129	0.0195	0	Malawi
0.0132	0.0217	0	Malawi
0.0156	0.0262	0	Malawi
0.0145	0.0185	0	Malawi
0.0132	0.0208	0	Malawi
0.012	0.0229	0	Malawi
0.0098	0.0187	0	Malawi
0.0134	0.0223	0	Malawi
0.0133	0.0231	0	Malawi
0.012	0.0184	0	Malawi
0.0132	0.0199	0	Malawi
0.0133	0.0215	0	Malawi
0.0126	0.0254	0	Malawi
0.0116	0.0253	0	Malawi
0.0122	0.0172	0	Malawi
0.0115	0.0238	0	Malawi
0.0111	0.0213	0	Malawi
0.0146	0.0184	0	Malawi
0.0129	0.0218	0	Malawi
0.0095	0.0238	0	Malawi
0.0127	0.0189	0	Malawi
0.0143	0.0193	0	Malawi
0.0118	0.0217	0	Malawi
0.0142	0.019	0	Malawi
0.0127	0.0192	0	Malawi
0.0141	0.0215	0	Malawi
0.0117	0.0191	0	Malawi
0.0144	0.0209	0	Malawi
0.0121	0.0216	0	Malawi
0.0121	0.0224	0	Malawi
0.0128	0.0226	0	Malawi
0.0128	0.0194	0	Malawi
0.013	0.0214	0	Malawi
0.0127	0.0207	0	Malawi
0.0124	0.0184	0	Malawi
0.0134	0.0206	0	Malawi
0.0128	0.0215	0	Malawi
0.0138	0.0224	0	Malawi
0.0128	0.0197	0	Malawi
0.0135	0.0218	0	Malawi
0.014	0.0229	0	Malawi
0.0141	0.0201	0	Malawi
0.0153	0.0222	0	Malawi
0.0134	0.0187	0	Malawi
0.0163	0.0219	0	Malawi
0.0131	0.0174	0	Malawi
0.0119	0.0205	0	Malawi
0.0112	0.0212	0	Malawi
0.0125	0.0226	0	Malawi
0.0123	0.0189	0	Malawi
0.0126	0.0241	0	Malawi
0.0143	0.0212	0	Malawi
0.0149	0.0255	0	Malawi
0.0123	0.0232	0	Malawi
0.0137	0.0249	0	Malawi
0.0143	0.0218	0	Malawi
0.0115	0.022	0	Malawi
0.0118	0.0195	0	Malawi
0.0132	0.0196	0	Malawi
0.0126	0.0247	0	Malawi
0.0128	0.024	0	Malawi
0.0136	0.0228	0	Malawi
0.0124	0.0202	0	Malawi
0.0133	0.0265	0	Malawi
0.0112	0.0228	0	Malawi
0.0125	0.0196	0	Malawi
0.0115	0.0236	0	Malawi
0.0129	0.0202	0	Malawi
0.0102	0.0222	0	Malawi
0.0104	0.0216	0	Malawi
0.0127	0.0208	0	Malawi
0.0141	0.0221	0	Malawi
0.0147	0.023	0	Malawi
0.0139	0.0218	0	Malawi
0.0137	0.019	0	Malawi
0.0104	0.0245	0	Malawi
0.0126	0.0191	0	Malawi
0.0148	0.0201	0	Malawi
0.0143	0.0198	0	Malawi
0.0147	0.0156	0	Malawi
0.0152	0.0221	0	Malawi
0.0116	0.0216	0	Malawi
0.0136	0.0195	0	Malawi
0.0165	0.0251	0	Malawi
0.0138	0.0219	0	Malawi
0.0119	0.0179	0	Malawi
0.0137	0.0215	0	Malawi
0.0136	0.0207	0	Malawi
0.0138	0.0156	0	Malawi
0.0106	0.0198	0	Malawi
0.0126	0.0189	0	Malawi
0.0141	0.0237	0	Malawi
0.015	0.0205	0	Malawi
0.0105	0.0179	0	Malawi
0.0141	0.0247	0	Malawi
0.0105	0.0181	0	Malawi
0.0126	0.0197	0	Malawi
0.0143	0.0173	0	Malawi
0.0129	0.0273	0	Malawi
0.0101	0.0187	0	Malawi
0.013	0.0163	0	Malawi
0.0143	0.0185	0	Malawi
0.0155	0.0201	0	Malawi
0.0147	0.0211	0	Malawi
0.0126	0.0233	0	Malawi
0.0127	0.0223	0	Malawi
0.0159	0.0184	0	Malawi
0.0165	0.0215	0	Malawi
0.0135	0.0231	0	Malawi
0.0128	0.0248	0	Malawi
0.0141	0.0234	0	Malawi
0.0153	0.0195	0	Malawi
0.0129	0.0249	0	Malawi
0.0144	0.0178	0	Malawi
0.0114	0.0243	0	Malawi
0.01	0.0206	0	Malawi
0.0123	0.0184	0	Malawi
0.012	0.0248	0	Malawi
0.0135	0.015	0	Malawi
0.0121	0.0172	0	Malawi
0.0113	0.0215	0	Malawi
0.0125	0.0184	0	Malawi
0.0123	0.0217	0	Malawi
0.0124	0.0188	0	Malawi
0.0135	0.0206	0	Malawi
0.0099	0.0202	0	Malawi
0.0119	0.0215	0	Malawi
0.012	0.0195	0	Malawi
0.0126	0.0179	0	Malawi
0.0111	0.0165	0	Malawi
0.0128	0.019	0	Malawi
0.0134	0.0246	0	Malawi
0.0128	0.0209	0	Malawi
0.0121	0.0194	0	Malawi
0.0129	0.0227	0	Malawi
0.0158	0.0196	0	Malawi
0.0119	0.0216	0	Malawi
0.0147	0.0207	0	Malawi
0.0146	0.024	0	Malawi
0.0106	0.0206	0	Malawi
0.0155	0.0193	0	Malawi
0.0198	0.0251	0	Malawi
0.0138	0.0229	0	Malawi
0.0131	0.0218	0	Malawi
0.0151	0.0227	0	Malawi
0.0123	0.0178	0	Malawi
0.0115	0.0207	0	Malawi
0.0159	0.0167	0	Malawi
0.0136	0.0245	0	Malawi
0.0129	0.016	0	Malawi
0.0165	0.0178	0	Malawi
0.0128	0.025	0	Malawi
0.0149	0.0217	0	Malawi
0.0117	0.023	0	Malawi
0.0152	0.0236	0	Malawi
0.0124	0.0212	0	Malawi
0.0145	0.0231	0	Malawi
0.014	0.0201	0	Malawi
0.0109	0.0159	0	Malawi
0.0133	0.0213	0	Malawi
0.0127	0.0201	0	Malawi
0.0092	0.0208	0	Malawi
0.0108	0.0211	0	Malawi
0.0139	0.026	0	Malawi
0.0121	0.0233	0	Malawi
0.0156	0.0233	0	Malawi
0.0134	0.0213	0	Malawi
0.0152	0.019	0	Malawi
0.0137	0.019	0	Malawi
0.0116	0.0209	0	Malawi
0.0148	0.0251	0	Malawi
0.0133	0.02	0	Malawi
0.0115	0.0217	0	Malawi
0.0164	0.0233	0	Malawi
0.0159	0.0211	0	Malawi
0.0128	0.0226	0	Malawi
0.0149	0.0239	0	Malawi
0.0154	0.0217	0	Malawi
0.0152	0.0208	0	Malawi
0.0142	0.024	0	Malawi
0.0141	0.0188	0	Malawi
0.0149	0.0171	0	Malawi
0.013	0.0182	0	Malawi
0.0114	0.023	0	Malawi
0.0124	0.0234	0	Malawi
0.0129	0.0208	0	Malawi
0.0154	0.0233	0	Malawi
0.0085	0.0246	0	Malawi
0.0161	0.0194	0	Malawi
0.0164	0.0192	0	Malawi
0.0104	0.0218	0	Malawi
0.013	0.02	0	Malawi
0.0125	0.0223	0	Malawi
0.0141	0.0219	0	Malawi
0.0137	0.0186	0	Malawi
0.0152	0.0255	0	Malawi
0.0133	0.024	0	Malawi
0.0133	0.0197	0	Malawi
0.0113	0.0182	0	Malawi
0.0143	0.0232	0	Malawi
0.0147	0.0237	0	Malawi
0.012	0.0251	0	Malawi
0.013	0.0218	0	Malawi
0.0143	0.0249	0	Malawi
0.0158	0.0193	0	Malawi
0.014	0.0238	0	Malawi
0.0128	0.0187	0	Malawi
0.0157	0.0266	0	Malawi
0.0112	0.0158	0	Malawi
0.015	0.0183	0	Malawi
0.0145	0.0228	0	Malawi
0.0143	0.025	0	Malawi
0.0138	0.0184	0	Malawi
0.0152	0.0259	0	Malawi
0.0145	0.0192	0	Malawi
0.0131	0.0216	0	Malawi
0.0116	0.0236	0	Malawi
0.0138	0.0256	0	Malawi
0.0148	0.0225	0	Malawi
0.0142	0.0213	0	Malawi
0.0123	0.0218	0	Malawi
0.0127	0.0211	0	Malawi
0.0148	0.023	0	Malawi
0.0146	0.0207	0	Malawi
0.0134	0.0262	0	Malawi
0.0114	0.0175	0	Malawi
0.0142	0.0255	0	Malawi
0.0149	0.0234	0	Malawi
0.013	0.0231	0	Malawi
0.013	0.0229	0	Malawi
0.0146	0.0246	0	Malawi
0.0126	0.0239	0	Malawi
0.0106	0.0231	0	Malawi
0.016	0.0217	0	Malawi
0.014	0.0213	0	Malawi
0.0151	0.0224	0	Malawi
0.015	0.0216	0	Malawi
0.0147	0.0178	0	Malawi
0.0121	0.0243	0	Malawi
0.0115	0.0246	0	Malawi
0.0155	0.0187	0	Malawi
0.0124	0.0225	0	Malawi
0.0157	0.0215	0	Malawi
0.015	0.0184	0	Malawi
0.0137	0.0222	0	Malawi
0.0128	0.0234	0	Malawi
0.0145	0.023	0	Malawi
0.0167	0.0229	0	Malawi
0.0148	0.0204	0	Malawi
0.0135	0.0235	0	Malawi
0.0147	0.0191	0	Malawi
0.0135	0.022	0	Malawi
0.0152	0.02	0	Malawi
0.0134	0.0237	0	Malawi
0.0135	0.023	0	Malawi
0.0142	0.0195	0	Malawi
0.0134	0.0227	0	Malawi
0.0152	0.0186	0	Malawi
0.0134	0.0199	0	Malawi
0.014	0.0176	0	Malawi
0.0137	0.0269	0	Malawi
0.0126	0.0245	0	Malawi
0.015	0.0253	0	Malawi
0.0126	0.0202	0	Malawi
0.0155	0.026	0	Malawi
0.0167	0.0241	0	Malawi
0.0143	0.0191	0	Malawi
0.0145	0.022	0	Malawi
0.0128	0.0224	0	Malawi
0.0137	0.0194	0	Malawi
0.014	0.0247	0	Malawi
0.0141	0.0216	0	Malawi
0.0175	0.02	0	Malawi
0.012	0.0221	0	Malawi
0.0108	0.0188	0	Malawi
0.015	0.023	0	Malawi
0.0159	0.0276	0	Malawi
0.014	0.021	0	Malawi
0.0121	0.0251	0	Malawi
0.0139	0.0226	0	Malawi
0.014	0.0224	0	Malawi
0.0165	0.0226	0	Malawi
0.0133	0.0226	0	Malawi
0.015	0.0183	0	Malawi
0.0139	0.0223	0	Malawi
0.0135	0.0228	0	Malawi
0.0129	0.0211	0	Malawi
0.0153	0.02	0	Malawi
0.0149	0.0227	0	Malawi
0.0131	0.0227	0	Malawi
0.0156	0.025	0	Malawi
0.014	0.0229	0	Malawi
0.0141	0.019	0	Malawi
0.0125	0.0188	0	Malawi
0.013	0.0227	0	Malawi
0.0145	0.0219	0	Malawi
0.0128	0.0246	0	Malawi
0.0127	0.0234	0	Malawi
0.0162	0.0208	0	Malawi
0.0152	0.0229	0	Malawi
0.0174	0.0182	0	Malawi
0.017	0.0182	0	Malawi
0.0161	0.0206	0	Malawi
0.013	0.0214	0	Malawi
0.0162	0.0242	0	Malawi
0.0139	0.0251	0	Malawi
0.012	0.0231	0	Malawi
0.0132	0.0177	0	Malawi
0.0126	0.0188	0	Malawi
0.0114	0.0179	0	Malawi
0.0117	0.0188	0	Malawi
0.0153	0.0183	0	Malawi
